"ZIP
code [1]"	Size of adjusted gross income	Number of returns
10591		11,840
10591	$1 under $25,000	3810
10591	$25,000 under $50,000	2280
10591	$50,000 under $75,000	1430
10591	$75,000 under $100,000	1020
10591	$100,000 under $200,000	1860
10591	$200,000 or more	1440
		
10594		2,530
10594	$1 under $25,000	690
10594	$25,000 under $50,000	390
10594	$50,000 under $75,000	290
10594	$75,000 under $100,000	250
10594	$100,000 under $200,000	560
10594	$200,000 or more	350
		
10595		3,230
10595	$1 under $25,000	820
10595	$25,000 under $50,000	450
10595	$50,000 under $75,000	420
10595	$75,000 under $100,000	320
10595	$100,000 under $200,000	750
10595	$200,000 or more	470
		
10597		500
10597	$1 under $25,000	130
10597	$25,000 under $50,000	60
10597	$50,000 under $75,000	20
10597	$75,000 under $100,000	30
10597	$100,000 under $200,000	70
10597	$200,000 or more	190
		
10598		14,410
10598	$1 under $25,000	3730
10598	$25,000 under $50,000	2090
10598	$50,000 under $75,000	1670
10598	$75,000 under $100,000	1360
10598	$100,000 under $200,000	3760
10598	$200,000 or more	1800
		
10601		6,020
10601	$1 under $25,000	1830
10601	$25,000 under $50,000	1190
10601	$50,000 under $75,000	820
10601	$75,000 under $100,000	590
10601	$100,000 under $200,000	940
10601	$200,000 or more	650
		
10603		9,930
10603	$1 under $25,000	3010
10603	$25,000 under $50,000	2000
10603	$50,000 under $75,000	1460
10603	$75,000 under $100,000	1070
10603	$100,000 under $200,000	1730
10603	$200,000 or more	660
		
10604		5,620
10604	$1 under $25,000	1850
10604	$25,000 under $50,000	1090
10604	$50,000 under $75,000	760
10604	$75,000 under $100,000	460
10604	$100,000 under $200,000	830
10604	$200,000 or more	630
		
10605		10,170
10605	$1 under $25,000	2680
10605	$25,000 under $50,000	1500
10605	$50,000 under $75,000	1180
10605	$75,000 under $100,000	910
10605	$100,000 under $200,000	2080
10605	$200,000 or more	1820
		
10606		8,440
10606	$1 under $25,000	3350
10606	$25,000 under $50,000	1860
10606	$50,000 under $75,000	1020
10606	$75,000 under $100,000	580
10606	$100,000 under $200,000	1000
10606	$200,000 or more	630
		
10607		4,030
10607	$1 under $25,000	1170
10607	$25,000 under $50,000	780
10607	$50,000 under $75,000	520
10607	$75,000 under $100,000	370
10607	$100,000 under $200,000	770
10607	$200,000 or more	420
		
10701		28,660
10701	$1 under $25,000	13100
10701	$25,000 under $50,000	7020
10701	$50,000 under $75,000	3640
10701	$75,000 under $100,000	1970
10701	$100,000 under $200,000	2470
10701	$200,000 or more	460
		
10703		10,420
10703	$1 under $25,000	3890
10703	$25,000 under $50,000	2530
10703	$50,000 under $75,000	1500
10703	$75,000 under $100,000	1010
10703	$100,000 under $200,000	1300
10703	$200,000 or more	190
		
10704		16,520
10704	$1 under $25,000	4960
10704	$25,000 under $50,000	3750
10704	$50,000 under $75,000	2870
10704	$75,000 under $100,000	1980
10704	$100,000 under $200,000	2520
10704	$200,000 or more	440
		
10705		18,250
10705	$1 under $25,000	8420
10705	$25,000 under $50,000	4520
10705	$50,000 under $75,000	2280
10705	$75,000 under $100,000	1270
10705	$100,000 under $200,000	1400
10705	$200,000 or more	360
		
10706		4,510
10706	$1 under $25,000	1050
10706	$25,000 under $50,000	570
10706	$50,000 under $75,000	480
10706	$75,000 under $100,000	420
10706	$100,000 under $200,000	940
10706	$200,000 or more	1050
		
10707		5,050
10707	$1 under $25,000	1290
10707	$25,000 under $50,000	730
10707	$50,000 under $75,000	670
10707	$75,000 under $100,000	530
10707	$100,000 under $200,000	1110
10707	$200,000 or more	720
		
10708		11,300
10708	$1 under $25,000	2360
10708	$25,000 under $50,000	1450
10708	$50,000 under $75,000	1550
10708	$75,000 under $100,000	1290
10708	$100,000 under $200,000	2320
10708	$200,000 or more	2330
		
10709		4,770
10709	$1 under $25,000	1210
10709	$25,000 under $50,000	720
10709	$50,000 under $75,000	550
10709	$75,000 under $100,000	440
10709	$100,000 under $200,000	1050
10709	$200,000 or more	800
		
10710		13,940
10710	$1 under $25,000	3690
10710	$25,000 under $50,000	2700
10710	$50,000 under $75,000	2220
10710	$75,000 under $100,000	1770
10710	$100,000 under $200,000	2840
10710	$200,000 or more	720
		
10801		18,360
10801	$1 under $25,000	7260
10801	$25,000 under $50,000	4000
10801	$50,000 under $75,000	2470
10801	$75,000 under $100,000	1550
10801	$100,000 under $200,000	2240
10801	$200,000 or more	840
		
10803		5,970
10803	$1 under $25,000	1460
10803	$25,000 under $50,000	780
10803	$50,000 under $75,000	620
10803	$75,000 under $100,000	450
10803	$100,000 under $200,000	1030
10803	$200,000 or more	1630
		
10804		7,110
10804	$1 under $25,000	1600
10804	$25,000 under $50,000	690
10804	$50,000 under $75,000	640
10804	$75,000 under $100,000	530
10804	$100,000 under $200,000	1480
10804	$200,000 or more	2170
		
10805		9,150
10805	$1 under $25,000	2940
10805	$25,000 under $50,000	2080
10805	$50,000 under $75,000	1550
10805	$75,000 under $100,000	1050
10805	$100,000 under $200,000	1200
10805	$200,000 or more	330
		
10901		11,540
10901	$1 under $25,000	3430
10901	$25,000 under $50,000	1880
10901	$50,000 under $75,000	1420
10901	$75,000 under $100,000	1100
10901	$100,000 under $200,000	2390
10901	$200,000 or more	1320
		
10913		2,550
10913	$1 under $25,000	710
10913	$25,000 under $50,000	350
10913	$50,000 under $75,000	250
10913	$75,000 under $100,000	240
10913	$100,000 under $200,000	620
10913	$200,000 or more	380
		
10916		2,150
10916	$1 under $25,000	650
10916	$25,000 under $50,000	330
10916	$50,000 under $75,000	240
10916	$75,000 under $100,000	230
10916	$100,000 under $200,000	510
10916	$200,000 or more	190
		
10917		1,000
10917	$1 under $25,000	290
10917	$25,000 under $50,000	170
10917	$50,000 under $75,000	140
10917	$75,000 under $100,000	90
10917	$100,000 under $200,000	210
10917	$200,000 or more	100
		
10918		5,530
10918	$1 under $25,000	1690
10918	$25,000 under $50,000	950
10918	$50,000 under $75,000	760
10918	$75,000 under $100,000	580
10918	$100,000 under $200,000	1200
10918	$200,000 or more	350
		
10919		600
10919	$1 under $25,000	180
10919	$25,000 under $50,000	130
10919	$50,000 under $75,000	80
10919	$75,000 under $100,000	70
10919	$100,000 under $200,000	110
10919	$200,000 or more	30
		
10920		4,470
10920	$1 under $25,000	1260
10920	$25,000 under $50,000	720
10920	$50,000 under $75,000	540
10920	$75,000 under $100,000	490
10920	$100,000 under $200,000	1090
10920	$200,000 or more	370
		
10921		2,180
10921	$1 under $25,000	670
10921	$25,000 under $50,000	390
10921	$50,000 under $75,000	310
10921	$75,000 under $100,000	250
10921	$100,000 under $200,000	460
10921	$200,000 or more	100
		
10923		4,780
10923	$1 under $25,000	1610
10923	$25,000 under $50,000	1060
10923	$50,000 under $75,000	700
10923	$75,000 under $100,000	500
10923	$100,000 under $200,000	760
10923	$200,000 or more	150
		
10924		6,080
10924	$1 under $25,000	1840
10924	$25,000 under $50,000	1070
10924	$50,000 under $75,000	750
10924	$75,000 under $100,000	630
10924	$100,000 under $200,000	1310
10924	$200,000 or more	480
		
10925		2,470
10925	$1 under $25,000	760
10925	$25,000 under $50,000	480
10925	$50,000 under $75,000	380
10925	$75,000 under $100,000	300
10925	$100,000 under $200,000	480
10925	$200,000 or more	70
		
10926		1,920
10926	$1 under $25,000	580
10926	$25,000 under $50,000	370
10926	$50,000 under $75,000	300
10926	$75,000 under $100,000	240
10926	$100,000 under $200,000	330
10926	$200,000 or more	100
		
10927		6,150
10927	$1 under $25,000	3230
10927	$25,000 under $50,000	1540
10927	$50,000 under $75,000	590
10927	$75,000 under $100,000	320
10927	$100,000 under $200,000	380
10927	$200,000 or more	90
		
10928		2,320
10928	$1 under $25,000	840
10928	$25,000 under $50,000	590
10928	$50,000 under $75,000	350
10928	$75,000 under $100,000	230
10928	$100,000 under $200,000	260
10928	$200,000 or more	50
		
10930		4,360
10930	$1 under $25,000	1300
10930	$25,000 under $50,000	600
10930	$50,000 under $75,000	490
10930	$75,000 under $100,000	450
10930	$100,000 under $200,000	1120
10930	$200,000 or more	400
		
10931		500
10931	$1 under $25,000	170
10931	$25,000 under $50,000	120
10931	$50,000 under $75,000	70
10931	$75,000 under $100,000	70
10931	$100,000 under $200,000	70
10931	$200,000 or more	**
		
10940		23,460
10940	$1 under $25,000	9250
10940	$25,000 under $50,000	5560
10940	$50,000 under $75,000	3250
10940	$75,000 under $100,000	2140
10940	$100,000 under $200,000	2870
10940	$200,000 or more	390
		
10941		6,890
10941	$1 under $25,000	2280
10941	$25,000 under $50,000	1680
10941	$50,000 under $75,000	1020
10941	$75,000 under $100,000	710
10941	$100,000 under $200,000	1050
10941	$200,000 or more	150
		
10950		17,190
10950	$1 under $25,000	6850
10950	$25,000 under $50,000	2800
10950	$50,000 under $75,000	1820
10950	$75,000 under $100,000	1520
10950	$100,000 under $200,000	3240
10950	$200,000 or more	960
		
10952		12,330
10952	$1 under $25,000	5600
10952	$25,000 under $50,000	2190
10952	$50,000 under $75,000	1210
10952	$75,000 under $100,000	750
10952	$100,000 under $200,000	1570
10952	$200,000 or more	1010
		
10954		12,370
10954	$1 under $25,000	3770
10954	$25,000 under $50,000	2210
10954	$50,000 under $75,000	1590
10954	$75,000 under $100,000	1320
10954	$100,000 under $200,000	2620
10954	$200,000 or more	860
		
10956		15,960
10956	$1 under $25,000	4370
10956	$25,000 under $50,000	2140
10956	$50,000 under $75,000	1690
10956	$75,000 under $100,000	1410
10956	$100,000 under $200,000	4010
10956	$200,000 or more	2340
		
10958		1,620
10958	$1 under $25,000	530
10958	$25,000 under $50,000	300
10958	$50,000 under $75,000	220
10958	$75,000 under $100,000	180
10958	$100,000 under $200,000	320
10958	$200,000 or more	70
		
10960		7,720
10960	$1 under $25,000	2430
10960	$25,000 under $50,000	1460
10960	$50,000 under $75,000	1050
10960	$75,000 under $100,000	720
10960	$100,000 under $200,000	1330
10960	$200,000 or more	730
		
10962		2,600
10962	$1 under $25,000	740
10962	$25,000 under $50,000	400
10962	$50,000 under $75,000	330
10962	$75,000 under $100,000	240
10962	$100,000 under $200,000	570
10962	$200,000 or more	320
		
10963		1,220
10963	$1 under $25,000	400
10963	$25,000 under $50,000	240
10963	$50,000 under $75,000	190
10963	$75,000 under $100,000	140
10963	$100,000 under $200,000	230
10963	$200,000 or more	20
		
10964		730
10964	$1 under $25,000	200
10964	$25,000 under $50,000	100
10964	$50,000 under $75,000	70
10964	$75,000 under $100,000	70
10964	$100,000 under $200,000	130
10964	$200,000 or more	160
		
10965		7,660
10965	$1 under $25,000	2020
10965	$25,000 under $50,000	1150
10965	$50,000 under $75,000	980
10965	$75,000 under $100,000	800
10965	$100,000 under $200,000	1950
10965	$200,000 or more	760
		
10968		1,250
10968	$1 under $25,000	270
10968	$25,000 under $50,000	160
10968	$50,000 under $75,000	170
10968	$75,000 under $100,000	150
10968	$100,000 under $200,000	310
10968	$200,000 or more	190
		
10969		610
10969	$1 under $25,000	210
10969	$25,000 under $50,000	110
10969	$50,000 under $75,000	90
10969	$75,000 under $100,000	70
10969	$100,000 under $200,000	100
10969	$200,000 or more	30
		
10970		5,130
10970	$1 under $25,000	1530
10970	$25,000 under $50,000	950
10970	$50,000 under $75,000	760
10970	$75,000 under $100,000	560
10970	$100,000 under $200,000	980
10970	$200,000 or more	350
		
10973		1,080
10973	$1 under $25,000	340
10973	$25,000 under $50,000	200
10973	$50,000 under $75,000	130
10973	$75,000 under $100,000	130
10973	$100,000 under $200,000	220
10973	$200,000 or more	60
		
10974		1,560
10974	$1 under $25,000	490
10974	$25,000 under $50,000	290
10974	$50,000 under $75,000	210
10974	$75,000 under $100,000	150
10974	$100,000 under $200,000	330
10974	$200,000 or more	90
		
10975		150
10975	$1 under $25,000	40
10975	$25,000 under $50,000	40
10975	$50,000 under $75,000	30
10975	$75,000 under $100,000	20
10975	$100,000 under $200,000	20
10975	$200,000 or more	**
		
10976		860
10976	$1 under $25,000	360
10976	$25,000 under $50,000	140
10976	$50,000 under $75,000	100
10976	$75,000 under $100,000	60
10976	$100,000 under $200,000	140
10976	$200,000 or more	60
		
10977		25,230
10977	$1 under $25,000	12330
10977	$25,000 under $50,000	5870
10977	$50,000 under $75,000	2510
10977	$75,000 under $100,000	1540
10977	$100,000 under $200,000	2280
10977	$200,000 or more	700
		
10980		6,990
10980	$1 under $25,000	2100
10980	$25,000 under $50,000	1300
10980	$50,000 under $75,000	910
10980	$75,000 under $100,000	690
10980	$100,000 under $200,000	1510
10980	$200,000 or more	480
		
10983		2,970
10983	$1 under $25,000	780
10983	$25,000 under $50,000	430
10983	$50,000 under $75,000	330
10983	$75,000 under $100,000	300
10983	$100,000 under $200,000	800
10983	$200,000 or more	330
		
10984		1,310
10984	$1 under $25,000	340
10984	$25,000 under $50,000	220
10984	$50,000 under $75,000	170
10984	$75,000 under $100,000	150
10984	$100,000 under $200,000	350
10984	$200,000 or more	80
		
10985		170
10985	$1 under $25,000	40
10985	$25,000 under $50,000	40
10985	$50,000 under $75,000	50
10985	$75,000 under $100,000	**
10985	$100,000 under $200,000	40
10985	$200,000 or more	**
		
10986		920
10986	$1 under $25,000	260
10986	$25,000 under $50,000	160
10986	$50,000 under $75,000	120
10986	$75,000 under $100,000	80
10986	$100,000 under $200,000	210
10986	$200,000 or more	90
		
10987		1,910
10987	$1 under $25,000	640
10987	$25,000 under $50,000	270
10987	$50,000 under $75,000	190
10987	$75,000 under $100,000	160
10987	$100,000 under $200,000	390
10987	$200,000 or more	260
		
10989		4,910
10989	$1 under $25,000	1230
10989	$25,000 under $50,000	810
10989	$50,000 under $75,000	680
10989	$75,000 under $100,000	600
10989	$100,000 under $200,000	1180
10989	$200,000 or more	410
		
10990		9,660
10990	$1 under $25,000	2900
10990	$25,000 under $50,000	1600
10990	$50,000 under $75,000	1170
10990	$75,000 under $100,000	1030
10990	$100,000 under $200,000	2140
10990	$200,000 or more	820
		
10992		4,740
10992	$1 under $25,000	1460
10992	$25,000 under $50,000	820
10992	$50,000 under $75,000	580
10992	$75,000 under $100,000	510
10992	$100,000 under $200,000	1130
10992	$200,000 or more	240
		
10993		2,570
10993	$1 under $25,000	1130
10993	$25,000 under $50,000	610
10993	$50,000 under $75,000	350
10993	$75,000 under $100,000	210
10993	$100,000 under $200,000	250
10993	$200,000 or more	20
		
10994		3,820
10994	$1 under $25,000	1050
10994	$25,000 under $50,000	530
10994	$50,000 under $75,000	440
10994	$75,000 under $100,000	330
10994	$100,000 under $200,000	920
10994	$200,000 or more	550
		
10996		1,250
10996	$1 under $25,000	410
10996	$25,000 under $50,000	160
10996	$50,000 under $75,000	160
10996	$75,000 under $100,000	230
10996	$100,000 under $200,000	240
10996	$200,000 or more	50
		
10998		1,550
10998	$1 under $25,000	460
10998	$25,000 under $50,000	280
10998	$50,000 under $75,000	200
10998	$75,000 under $100,000	190
10998	$100,000 under $200,000	360
10998	$200,000 or more	60
		
11001		13,660
11001	$1 under $25,000	3910
11001	$25,000 under $50,000	2360
11001	$50,000 under $75,000	1820
11001	$75,000 under $100,000	1430
11001	$100,000 under $200,000	3050
11001	$200,000 or more	1090
		
11003		23,600
11003	$1 under $25,000	8640
11003	$25,000 under $50,000	6000
11003	$50,000 under $75,000	3530
11003	$75,000 under $100,000	2340
11003	$100,000 under $200,000	2760
11003	$200,000 or more	330
		
11004		6,610
11004	$1 under $25,000	1980
11004	$25,000 under $50,000	1310
11004	$50,000 under $75,000	1070
11004	$75,000 under $100,000	810
11004	$100,000 under $200,000	1230
11004	$200,000 or more	210
		
11005		1,430
11005	$1 under $25,000	220
11005	$25,000 under $50,000	160
11005	$50,000 under $75,000	200
11005	$75,000 under $100,000	210
11005	$100,000 under $200,000	420
11005	$200,000 or more	220
		
11010		12,390
11010	$1 under $25,000	3520
11010	$25,000 under $50,000	2290
11010	$50,000 under $75,000	1880
11010	$75,000 under $100,000	1460
11010	$100,000 under $200,000	2700
11010	$200,000 or more	540
		
11020		3,050
11020	$1 under $25,000	880
11020	$25,000 under $50,000	450
11020	$50,000 under $75,000	270
11020	$75,000 under $100,000	210
11020	$100,000 under $200,000	540
11020	$200,000 or more	700
		
11021		9,380
11021	$1 under $25,000	2250
11021	$25,000 under $50,000	1310
11021	$50,000 under $75,000	1140
11021	$75,000 under $100,000	950
11021	$100,000 under $200,000	1900
11021	$200,000 or more	1830
		
11023		3,910
11023	$1 under $25,000	1030
11023	$25,000 under $50,000	520
11023	$50,000 under $75,000	390
11023	$75,000 under $100,000	310
11023	$100,000 under $200,000	790
11023	$200,000 or more	870
		
11024		3,190
11024	$1 under $25,000	960
11024	$25,000 under $50,000	430
11024	$50,000 under $75,000	310
11024	$75,000 under $100,000	240
11024	$100,000 under $200,000	490
11024	$200,000 or more	760
		
11030		8,570
11030	$1 under $25,000	1910
11030	$25,000 under $50,000	830
11030	$50,000 under $75,000	750
11030	$75,000 under $100,000	520
11030	$100,000 under $200,000	1390
11030	$200,000 or more	3170
		
11040		21,060
11040	$1 under $25,000	5790
11040	$25,000 under $50,000	3390
11040	$50,000 under $75,000	2670
11040	$75,000 under $100,000	2220
11040	$100,000 under $200,000	5030
11040	$200,000 or more	1960
		
11050		14,850
11050	$1 under $25,000	4150
11050	$25,000 under $50,000	2120
11050	$50,000 under $75,000	1470
11050	$75,000 under $100,000	1180
11050	$100,000 under $200,000	2700
11050	$200,000 or more	3230
		
11096		3,800
11096	$1 under $25,000	1910
11096	$25,000 under $50,000	940
11096	$50,000 under $75,000	440
11096	$75,000 under $100,000	250
11096	$100,000 under $200,000	240
11096	$200,000 or more	20
		
11101		15,810
11101	$1 under $25,000	5840
