"ZIP","offCat"
"11220","MISDEMEANOR"
"10038","VIOLATION"
"11378","FELONY"
"11418","FELONY"
"10128","FELONY"
"11219","MISDEMEANOR"
"10469","FELONY"
"11432","FELONY"
"11366","MISDEMEANOR"
"10001","MISDEMEANOR"
"10002","MISDEMEANOR"
"11229","MISDEMEANOR"
"11216","MISDEMEANOR"
"11436","FELONY"
"11236","VIOLATION"
"10454","MISDEMEANOR"
"10459","MISDEMEANOR"
"10036","MISDEMEANOR"
"11217","MISDEMEANOR"
"10032","MISDEMEANOR"
"10456","FELONY"
"10460","MISDEMEANOR"
"11217","MISDEMEANOR"
"11233","FELONY"
"11426","FELONY"
"10459","MISDEMEANOR"
"11214","MISDEMEANOR"
"11203","FELONY"
"11104","MISDEMEANOR"
"11104","MISDEMEANOR"
"11104","MISDEMEANOR"
"11104","MISDEMEANOR"
"11104","MISDEMEANOR"
"00083","MISDEMEANOR"
"00083","MISDEMEANOR"
"11104","MISDEMEANOR"
"10471","FELONY"
"10456","MISDEMEANOR"
"10036","FELONY"
"10314","MISDEMEANOR"
"11201","VIOLATION"
"10040","MISDEMEANOR"
"11233","FELONY"
"10466","MISDEMEANOR"
"11416","MISDEMEANOR"
"11419","MISDEMEANOR"
"11236","VIOLATION"
"10462","VIOLATION"
"11229","MISDEMEANOR"
"11221","FELONY"
"11366","MISDEMEANOR"
"10027","MISDEMEANOR"
"11233","MISDEMEANOR"
"11378","FELONY"
"11414","MISDEMEANOR"
"11210","MISDEMEANOR"
"11229","MISDEMEANOR"
"10065","MISDEMEANOR"
"11236","VIOLATION"
"10457","FELONY"
"11221","FELONY"
"10459","VIOLATION"
"11201","MISDEMEANOR"
"11101","MISDEMEANOR"
"10075","FELONY"
"10456","MISDEMEANOR"
"11216","MISDEMEANOR"
"11216","MISDEMEANOR"
"11691","VIOLATION"
"11354","FELONY"
"11224","MISDEMEANOR"
"11220","MISDEMEANOR"
"10312","FELONY"
"11213","FELONY"
"10465","VIOLATION"
"11216","MISDEMEANOR"
